Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
22/05/2017,Market 999,20.93294461,20.93294461
22/05/2017,Homeplus 365,41.51603499,41.51603499
22/05/2017,Emart24,0,0
22/05/2017,Mini Stop,0,0
22/05/2017,No Brand,0,0
22/05/2017,CU,0,0
22/05/2017,Shinsegae Department,0,0
22/05/2017,Sampling ,780.1693878,780.1693878
22/05/2017,Loss,0,0
22/05/2017,Wholesale,65455.2449,65455.2449
22/05/2017,E-commerce,516.0291545,516.0291545
22/05/2017,Retail,89102.12351,89102.12351
29/05/2017,Lotte Mart,9193.944607,9193.944607
29/05/2017,Lotte super,5313.06414,5313.06414
29/05/2017,Homeplus,18551.90962,18551.90962
29/05/2017,AK Plaza,946,946
29/05/2017,GS Retail,1590,1590
29/05/2017,Lotte Department,401,401
29/05/2017,GS25,338,338
29/05/2017,Emart everyday,1741.131195,1741.131195
29/05/2017,CS Distribution,0,0
29/05/2017,Eland,3521.166181,3521.166181
29/05/2017,Emart,28157.55977,28157.55977
29/05/2017,Emart traders,5524.586006,5524.586006
29/05/2017,Homeplus Express,4981.072886,4981.072886
29/05/2017,Mega Mart,493.0029155,493.0029155
29/05/2017,Costco Korea,-1960.436364,-1960.436364
29/05/2017,VIC Market,1694,1694
29/05/2017,Hyundae Department,3345.043732,3345.043732
29/05/2017,Market 999,82.39067055,82.39067055
29/05/2017,Homeplus 365,22.59475219,22.59475219
29/05/2017,Emart24,0,0
29/05/2017,Mini Stop,0,0
29/05/2017,No Brand,0,0
29/05/2017,CU,0,0
29/05/2017,Shinsegae Department,0,0
29/05/2017,Sampling ,786.7346939,786.7346939
29/05/2017,Loss,0,0
29/05/2017,Wholesale,69903.06122,69903.06122
29/05/2017,E-commerce,966.2536443,966.2536443
29/05/2017,Retail,83936.03011,83936.03011
05/06/2017,Lotte Mart,9431.690962,9431.690962
05/06/2017,Lotte super,1170.440233,1170.440233
05/06/2017,Homeplus,17879.77259,17879.77259
05/06/2017,AK Plaza,510,510
05/06/2017,GS Retail,2809,2809
05/06/2017,Lotte Department,390,390
05/06/2017,GS25,311,311
05/06/2017,Emart everyday,2452.68105,2452.68105
05/06/2017,CS Distribution,0,0
