Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
12/06/2017,Lotte super,1519.428571,1519.428571
12/06/2017,Homeplus,8380.171429,8380.171429
12/06/2017,AK Plaza,54,54
12/06/2017,GS Retail,666,666
12/06/2017,Lotte Department,351,351
12/06/2017,GS25,101,101
12/06/2017,Emart everyday,1540.504286,1540.504286
12/06/2017,CS Distribution,0,0
12/06/2017,Eland,419.4571429,419.4571429
12/06/2017,Emart,5416.385714,5416.385714
12/06/2017,Emart traders,1769.142857,1769.142857
12/06/2017,Homeplus Express,698.2857143,698.2857143
12/06/2017,Mega Mart,633.3142857,633.3142857
12/06/2017,Costco Korea,7816.909091,7816.909091
12/06/2017,VIC Market,232,232
12/06/2017,Hyundae Department,276.6,276.6
12/06/2017,Market 999,74.97142857,74.97142857
12/06/2017,Homeplus 365,0,0
12/06/2017,Emart24,0,0
12/06/2017,Mini Stop,0,0
12/06/2017,No Brand,0,0
12/06/2017,CU,0,0
12/06/2017,Shinsegae Department,0,0
12/06/2017,Sampling ,634.2428571,634.2428571
12/06/2017,Loss,0,0
12/06/2017,Wholesale,49906.85714,49906.85714
12/06/2017,E-commerce,194,194
12/06/2017,Retail,34710.42766,34710.42766
19/06/2017,Lotte Mart,2917.394286,2917.394286
19/06/2017,Lotte super,558.0571429,558.0571429
19/06/2017,Homeplus,7281.52,7281.52
19/06/2017,AK Plaza,62,62
19/06/2017,GS Retail,503,503
19/06/2017,Lotte Department,224,224
19/06/2017,GS25,95,95
19/06/2017,Emart everyday,2193.542857,2193.542857
19/06/2017,CS Distribution,0,0
19/06/2017,Eland,472.2514286,472.2514286
19/06/2017,Emart,5543.794286,5543.794286
19/06/2017,Emart traders,2220.022857,2220.022857
19/06/2017,Homeplus Express,1872.845714,1872.845714
19/06/2017,Mega Mart,52.27428571,52.27428571
19/06/2017,Costco Korea,7813.318182,7813.318182
19/06/2017,VIC Market,205,205
19/06/2017,Hyundae Department,308.44,308.44
19/06/2017,Market 999,60.44571429,60.44571429
19/06/2017,Homeplus 365,0,0
19/06/2017,Emart24,0,0
19/06/2017,Mini Stop,0,0
19/06/2017,No Brand,0,0
19/06/2017,CU,0,0
19/06/2017,Shinsegae Department,0,0
19/06/2017,Sampling ,581.9571429,581.9571429
19/06/2017,Loss,0,0
19/06/2017,Wholesale,38786.40571,38786.40571
19/06/2017,E-commerce,141,141
19/06/2017,Retail,32382.90675,32382.90675
26/06/2017,Lotte Mart,2399,2399
26/06/2017,Lotte super,1396,1396
26/06/2017,Homeplus,7353,7353
26/06/2017,AK Plaza,34,34
26/06/2017,GS Retail,459,459
26/06/2017,Lotte Department,118,118
26/06/2017,GS25,60,60
26/06/2017,Emart everyday,1245.9,1245.9
26/06/2017,CS Distribution,0,0
26/06/2017,Eland,490,490
26/06/2017,Emart,11511.2,11511.2
26/06/2017,Emart traders,2126.3,2126.3
26/06/2017,Homeplus Express,1360,1360
26/06/2017,Mega Mart,120,120
26/06/2017,Costco Korea,6447.045455,6447.045455
26/06/2017,VIC Market,247,247
26/06/2017,Hyundae Department,268,268
26/06/2017,Market 999,63,63
26/06/2017,Homeplus 365,0,0
26/06/2017,Emart24,0,0
26/06/2017,Mini Stop,0,0
26/06/2017,No Brand,0,0
26/06/2017,CU,0,0
26/06/2017,Shinsegae Department,0,0
26/06/2017,Sampling ,1458.242857,1458.242857
26/06/2017,Loss,0,0
26/06/2017,Wholesale,94347.2,94347.2
26/06/2017,E-commerce,132,132
26/06/2017,Retail,35697.44545,35697.44545
03/07/2017,Lotte Mart,2244.657143,2244.657143
03/07/2017,Lotte super,703.8285714,703.8285714
03/07/2017,Homeplus,5546.114286,5546.114286
03/07/2017,AK Plaza,80,80
03/07/2017,GS Retail,443,443
03/07/2017,Lotte Department,95,95
03/07/2017,GS25,55,55
03/07/2017,Emart everyday,818.6714286,818.6714286
03/07/2017,CS Distribution,0,0
03/07/2017,Eland,279.5142857,279.5142857
03/07/2017,Emart,7099.871429,7099.871429
03/07/2017,Emart traders,1696.285714,1696.285714
03/07/2017,Homeplus Express,467.0857143,467.0857143
03/07/2017,Mega Mart,126.8,126.8
03/07/2017,Costco Korea,3848.181818,3848.181818
03/07/2017,VIC Market,132,132
03/07/2017,Hyundae Department,235,235
03/07/2017,Market 999,36.4,36.4
03/07/2017,Homeplus 365,0,0
03/07/2017,Emart24,0,0
03/07/2017,Mini Stop,0,0
03/07/2017,No Brand,0,0
03/07/2017,CU,0,0
