Table,Year,Month,Week,Year_Week,Year_Month,Row_Title,Full_Title,Title_Core,Title_Type,Value,Title_Type Tagging
Table253,2019,4,16,2019_16,2019_04,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,7.0,By Brand
Table253,2019,4,16,2019_16,2019_04,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,14.0,By Brand
Table253,2019,4,16,2019_16,2019_04,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,8.0,By Brand
Table253,2019,4,16,2019_16,2019_04,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,16,2019_16,2019_04,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,16,2019_16,2019_04,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.07,By Brand
Table253,2019,4,16,2019_16,2019_04,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.99,By Brand
Table253,2019,4,16,2019_16,2019_04,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.3,By Brand
Table253,2019,4,17,2019_17,2019_04,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,16.0,By Brand
Table253,2019,4,17,2019_17,2019_04,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
